"mindex","n","predictors","rsquare","adjr","predrsq","cp","aic","sbic","sbc","msep","fpe","apc","hsp"
2510,6,"x[, 3] x[, 4] x[, 6] x[, 7] x[, 12] x[, 14]",0.680713623139865,0.67687450838804,0.666570709500254,113.685190572184,3118.79670750409,1680.47258191612,3152.60900085839,13830.3320199312,27.7102390691333,0.32824431128106,0.0548837884441527
2511,6,"x[, 3] x[, 7] x[, 9] x[, 10] x[, 13] x[, 14]",0.680690975974014,0.676851588911577,0.665286828461586,113.72815217017,3118.83259710151,1680.50760296472,3152.64489045581,13831.3130133144,27.712204572285,0.328267593838339,0.0548876813827481
2512,6,"x[, 4] x[, 6] x[, 7] x[, 10] x[, 12] x[, 14]",0.680559037645614,0.676718064150371,0.665707354381886,113.978438738504,3119.04163286368,1680.71158088682,3152.85392621798,13837.0281049066,27.7236552412997,0.328403233843286,0.0549103609451358
2513,6,"x[, 4] x[, 7] x[, 8] x[, 10] x[, 12] x[, 14]",0.680508764756162,0.676667186777278,0.66464320300944,114.073806241897,3119.12125972302,1680.78928151488,3152.93355307732,13839.2057448033,27.7280183268754,0.328454917194567,0.0549190026123949
2514,6,"x[, 3] x[, 4] x[, 7] x[, 11] x[, 12] x[, 14]",0.680498974461884,0.676657278764031,0.665742110708719,114.092378397445,3119.13676504041,1680.80441177465,3152.94905839471,13839.6298249716,27.7288680073337,0.32846498216644,0.0549206855167682
2515,6,"x[, 3] x[, 5] x[, 7] x[, 9] x[, 10] x[, 14]",0.680417820269621,0.676575148769857,0.663611747298854,114.246327629136,3119.26527419592,1680.92981276803,3153.07756755022,13843.1451313084,27.7359112206746,0.328548413229829,0.0549346355310574
2516,6,"x[, 3] x[, 4] x[, 7] x[, 8] x[, 12] x[, 14]",0.680411340323532,0.676568590908585,0.665326158723097,114.258620065224,3119.27553390278,1680.93982435672,3153.08782725708,13843.4258191559,27.7364736024994,0.328555074978012,0.0549357494025408
2517,6,"x[, 3] x[, 6] x[, 7] x[, 11] x[, 12] x[, 14]",0.680408969188702,0.676566191263116,0.665507273803745,114.263118100078,3119.27928807157,1680.94348773662,3153.09158142587,13843.528528148,27.7366793886456,0.328557512637667,0.0549361569891835
2518,6,"x[, 3] x[, 7] x[, 8] x[, 10] x[, 12] x[, 14]",0.680194470993424,0.676349113931221,0.66405822969738,114.670020460153,3119.61878345739,1681.27477508988,3153.43107681169,13852.8198148216,27.7552952667469,0.328778028818384,0.054973028194548
2519,6,"x[, 5] x[, 6] x[, 7] x[, 9] x[, 11] x[, 14]",0.680134551836404,0.676288474303375,0.663199483483183,114.783686900906,3119.7135793591,1681.36727985602,3153.5258727134,13855.41529617,27.7604955329849,0.328839629073997,0.0549833280086834
2520,6,"x[, 5] x[, 6] x[, 7] x[, 9] x[, 13] x[, 14]",0.679922330992929,0.676073701706271,0.663881141312899,115.186269132218,3120.04918340844,1681.69477530819,3153.86147676274,13864.6079361933,27.7789137641854,0.329057804009274,0.0550198077482554
2521,6,"x[, 2] x[, 4] x[, 5] x[, 7] x[, 9] x[, 14]",0.679166634873816,0.675308919060675,0.663410041167501,116.619822146352,3121.24242987515,1682.85922514522,3155.05472322945,13897.3419611658,27.844499149726,0.329834702023512,0.0551497082668349
2522,6,"x[, 3] x[, 4] x[, 7] x[, 10] x[, 12] x[, 14]",0.679149921790872,0.675292005018818,0.664104649742034,116.651526808879,3121.26878810539,1682.88494786453,3155.08108145969,13898.0659115217,27.8459496454487,0.329851884010587,0.0551525811651951
2523,6,"x[, 4] x[, 5] x[, 7] x[, 9] x[, 11] x[, 14]",0.679133377710477,0.675275262011605,0.662376160452762,116.682910874135,3121.29487844923,1682.91040918153,3155.10717180353,13898.7825412981,27.8473854737713,0.329868892253558,0.0551554250128322
2524,6,"x[, 2] x[, 5] x[, 6] x[, 7] x[, 9] x[, 14]",0.677924621450591,0.674051971608313,0.662126868867646,118.975917462216,3123.19748051075,1684.76720791175,3157.00977386505,13951.1414943163,27.9522910612479,0.331111561514724,0.0553632043847571
2525,6,"x[, 3] x[, 6] x[, 7] x[, 9] x[, 10] x[, 14]",0.677676000033716,0.673800360755564,0.66248827497021,119.447551459697,3123.58792919017,1685.14827338867,3157.40022254447,13961.9108756362,27.9738684268939,0.331367158281971,0.0554059412073569
2526,6,"x[, 5] x[, 7] x[, 8] x[, 9] x[, 11] x[, 14]",0.677667382737754,0.673791639844821,0.659689243053758,119.463898441359,3123.60145686255,1685.16147606662,3157.41375021685,13962.2841457564,27.9746163051266,0.331376017345756,0.0554074224789765
2527,6,"x[, 3] x[, 4] x[, 6] x[, 7] x[, 9] x[, 14]",0.677643967059042,0.673767942614862,0.663791398517673,119.508317905673,3123.63821362391,1685.19734980225,3157.45050697821,13963.2984283395,27.9766485060036,0.331400089977378,0.0554114475212265
2528,6,"x[, 2] x[, 5] x[, 7] x[, 9] x[, 11] x[, 14]",0.677573979670288,0.673697113694379,0.659986549810771,119.6410837484,3123.7480604122,1685.30455798333,3157.5603537665,13966.3300291024,27.9827225743471,0.331472040940165,0.0554234780158436
2529,6,"x[, 4] x[, 5] x[, 6] x[, 7] x[, 9] x[, 14]",0.67740890652864,0.673530055705337,0.661787254336018,119.954226946806,3124.00705202563,1685.5573301687,3157.81934537993,13973.4804010632,27.9970489488825,0.3316417453924,0.0554518532928382
2530,6,"x[, 5] x[, 7] x[, 9] x[, 10] x[, 11] x[, 14]",0.67727762416849,0.673397194799774,0.66040692975657,120.203269145562,3124.21293297593,1685.75826885063,3158.02522633023,13979.1670784814,28.0084426876981,0.33177671102518,0.0554744200974472
2531,6,"x[, 3] x[, 4] x[, 7] x[, 9] x[, 10] x[, 14]",0.677276554816078,0.673396112589418,0.662098819717545,120.205297703515,3124.21460962269,1685.75990525509,3158.02690297699,13979.2133989635,28.0085354946987,0.331777810379462,0.0554746039139698
2532,6,"x[, 7] x[, 9] x[, 10] x[, 11] x[, 13] x[, 14]",0.677114003541537,0.673231606790533,0.66171095465212,120.513656928443,3124.46941056379,1686.00859175385,3158.28170391808,13986.2545327546,28.022643001329,0.331944922210805,0.0555025456941704
2533,6,"x[, 3] x[, 7] x[, 8] x[, 9] x[, 13] x[, 14]",0.676806060941876,0.672919961474243,0.661698519912985,121.097823011554,3124.95176254119,1686.47937529464,3158.76405589549,13999.5934933401,28.049368736201,0.332261504482601,0.0555554795420187
2534,6,"x[, 2] x[, 3] x[, 7] x[, 9] x[, 10] x[, 14]",0.676752581302194,0.672865838792801,0.661711685451913,121.199273709422,3125.03548459089,1686.56109027627,3158.84777794519,14001.9100380683,28.0540101293462,0.332316484553055,0.0555646724341779
